,pre_pt_root_id,post_pt_root_id,sum_size,index_pre,index_post,C,cell_type_pre,cell_type_post
577,864691135272867601,864691135809980620,27512,8575,6031,0.09233120237261432,L2/3,L5
579,864691136136778621,864691135809980620,376,1007,6031,-0.11088601216977557,L2/3,L5
581,864691135926952148,864691135809980620,23612,224,6031,0.04436078667884218,L2/3,L5
584,864691134948433660,864691135809980620,2108,6159,6031,0.1272758282845296,L2/3,L5
587,864691135155894884,864691135397496097,20028,2145,7063,0.21158667900342978,L2/3,L5
589,864691135755884754,864691135397496097,43104,5503,7063,0.4054492908398007,L2/3,L5
590,864691135082846711,864691135397496097,26800,4420,7063,0.21178396776406186,L2/3,L5
591,864691135122934055,864691135397496097,1328,8574,7063,0.021565748275069532,L2/3,L5
592,864691135404231406,864691135397496097,8672,3048,7063,0.09137407032640243,L2/3,L5
594,864691136209328060,864691135397496097,1732,5517,7063,-0.061311811184410134,L2/3,L5
595,864691135273490193,864691135397496097,28856,2594,7063,0.10231755960964145,L2/3,L5
596,864691135701034107,864691135397496097,1608,410,7063,0.17850503287621208,L2/3,L5
599,864691135135756569,864691135397496097,9868,2406,7063,0.2507358958057884,L2/3,L5
601,864691135874611854,864691135397496097,1776,8772,7063,0.05084836203942705,L2/3,L5
604,864691135926952148,864691135397496097,12456,224,7063,-0.11199725131636891,L2/3,L5
606,864691135572327205,864691135397496097,4884,4228,7063,0.4184890062684837,L2/3,L5
608,864691135013978774,864691135397496097,5788,11791,7063,0.0033926416720177328,L2/3,L5
637,864691135155894884,864691135969896037,10896,2145,7800,0.02889085126532033,L2/3,L5
638,864691136101005173,864691135969896037,3500,3121,7800,0.41010156539643133,L2/3,L5
640,864691135468597132,864691135969896037,22980,4055,7800,0.13238429854690192,L2/3,L5
641,864691135816565839,864691135969896037,1444,447,7800,-0.25329548479866126,L2/3,L5
642,864691135782702387,864691135969896037,4688,497,7800,-0.18578853621107894,L2/3,L5
643,864691135100604448,864691135969896037,12532,11258,7800,-0.06463918367910633,L2/3,L5
644,864691135701034107,864691135969896037,27120,410,7800,0.12104155081418416,L2/3,L5
645,864691135272867601,864691135969896037,6020,8575,7800,-0.18442819587921522,L2/3,L5
647,864691136066733720,864691135969896037,31204,25,7800,0.16432116440517514,L2/3,L5
649,864691136926540362,864691135969896037,28100,3440,7800,0.40628295157987304,L2/3,L5
650,864691136334904499,864691135969896037,4628,1507,7800,0.1227650295466322,L2/3,L5
651,864691135938349828,864691135969896037,13112,5160,7800,0.13897538168300794,L2/3,L5
652,864691135855890478,864691135969896037,24428,1175,7800,-0.10653318434088871,L2/3,L5
653,864691135517531786,864691135969896037,7444,8175,7800,0.12559084937443515,L2/3,L5
656,864691136812081779,864691135969896037,500,7111,7800,-0.15834757438751837,L2/3,L5
657,864691135155894884,864691135946651940,13612,2145,1804,0.041274949140176896,L2/3,L5
658,864691135582733933,864691135946651940,11800,3567,1804,-0.12895807002701415,L2/3,L5
659,864691135749181225,864691135946651940,14620,3132,1804,0.1424904715551684,L2/3,L5
660,864691135292991414,864691135946651940,15528,4056,1804,0.12440806830373322,L2/3,L5
661,864691135610121991,864691135946651940,29248,11492,1804,0.30184212322189935,L2/3,L5
662,864691136092174260,864691135946651940,6460,232,1804,-0.120576826815411,L2/3,L5
664,864691135565275479,864691135946651940,13864,1146,1804,0.06225210726145876,L2/3,L5
665,864691135491208679,864691135946651940,6216,1078,1804,-0.031547226100754125,L2/3,L5
666,864691136117180068,864691135946651940,1240,10796,1804,-0.19666685318561938,L2/3,L5
667,864691135910761897,864691135946651940,15116,7249,1804,-0.1620427527366012,L2/3,L5
668,864691135491711975,864691135946651940,27892,440,1804,-0.0638331704101031,L2/3,L5
671,864691135582259309,864691135946651940,72876,11269,1804,-0.1882904216097213,L2/3,L5
672,864691135397503777,864691135946651940,3604,5154,1804,-0.07105616118530626,L2/3,L5
673,864691135502623157,864691135946651940,18984,233,1804,-0.04232409000058639,L2/3,L5
674,864691135988078595,864691135946651940,9504,7336,1804,0.1438114783623969,L2/3,L5
676,864691135661016816,864691135946651940,18364,11853,1804,-0.16550420583220227,L2/3,L5
677,864691135568970220,864691135946651940,3964,6242,1804,-0.061397259539577004,L2/3,L5
678,864691135938349828,864691135946651940,2096,5160,1804,-0.08582280147964516,L2/3,L5
679,864691135782992179,864691135946651940,13676,11798,1804,-0.004864165080137559,L2/3,L5
680,864691136379426005,864691135946651940,18196,10895,1804,-0.06077825539667699,L2/3,L5
685,864691136032840123,864691135946651940,15180,11114,1804,0.31302005249816933,L2/3,L5
686,864691135762864182,864691135946651940,44852,222,1804,-0.24722919817170977,L2/3,L5
687,864691136990504853,864691135946651940,27528,3047,1804,0.07461913433787484,L2/3,L5
688,864691135947212897,864691135946651940,2592,2175,1804,-0.14297046939956182,L2/3,L5
690,864691135561573601,864691135946651940,12584,5263,1804,-0.0015748037414158602,L2/3,L5
691,864691135995592874,864691135946651940,3532,4053,1804,-0.2056099394977988,L2/3,L5
692,864691136066578840,864691135946651940,29584,11119,1804,0.281556124808564,L2/3,L5
693,864691135953985800,864691135946651940,16028,333,1804,-0.01701310877783732,L2/3,L5
694,864691135155894884,864691135777684320,9192,2145,9505,0.0753704289795252,L2/3,L5
696,864691135279318689,864691135777684320,5244,10981,9505,-0.10988542449976056,L2/3,L5
697,864691136813000051,864691135777684320,6360,11211,9505,0.2634094294144054,L2/3,L5
698,864691135155894884,864691135591375627,7436,2145,7823,0.18548151046871894,L2/3,L5
699,864691135816565839,864691135591375627,35896,447,7823,0.43153469503364333,L2/3,L5
700,864691135100604448,864691135591375627,36364,11258,7823,0.33790837294960085,L2/3,L5
701,864691135856895534,864691135591375627,1788,6567,7823,0.3044376298881904,L2/3,L5
702,864691135511563472,864691135591375627,2808,7333,7823,-0.15671313434328235,L2/3,L5
703,864691136953057759,864691135591375627,17160,12006,7823,0.03942068802545999,L2/3,L5
706,864691135661016816,864691135591375627,8268,11853,7823,0.05540056701831026,L2/3,L5
707,864691135013978774,864691135591375627,25648,11791,7823,0.2067843279442671,L2/3,L5
709,864691135938155573,864691135591375627,14652,4094,7823,0.0823535902605422,L2/3,L5
710,864691136813000051,864691135591375627,940,11211,7823,-0.11342241047267324,L2/3,L5
711,864691135155894884,864691135509288969,6528,2145,6075,0.21446396450255104,L2/3,L5
713,864691135468597132,864691135509288969,20352,4055,6075,0.17467108204396464,L2/3,L5
714,864691135701034107,864691135509288969,1580,410,6075,0.052732461790531066,L2/3,L5
715,864691135213783424,864691135509288969,3072,3542,6075,-0.06798323999278695,L2/3,L5
716,864691135397503777,864691135509288969,13548,5154,6075,0.3876656584430362,L2/3,L5
719,864691136990504853,864691135509288969,21828,3047,6075,0.24732503670121167,L2/3,L5
