,pre_pt_root_id,post_pt_root_id,sum_size,index_pre,index_post,C,cell_type_pre,cell_type_post,distance
41,864691136923990500,864691135582733933,3988,372,3567,-0.039700831699416954,L2/3,L2/3,55.075933037943166
42,864691135697002138,864691135582733933,14880,7238,3567,0.193329904026878,L2/3,L2/3,81.4941529190899
47,864691135919485872,864691135582733933,12636,10805,3567,0.23509943839521427,L2/3,L2/3,132.0005119990071
49,864691135889695113,864691135183034370,676,11126,11510,0.017137363507877222,L2/3,L2/3,83.12075148842187
50,864691135749181225,864691135183034370,29832,3132,11510,0.05092723439228281,L2/3,L2/3,103.79142777705681
52,864691135614771147,864691135183034370,244,4673,11510,0.09315371856414643,L2/3,L2/3,136.73641961087029
53,864691135737395076,864691135183034370,604,3194,11510,0.12078739979774834,L2/3,L2/3,120.0962603247911
54,864691135954499336,864691135183034370,5516,1119,11510,0.0013437702731384758,L2/3,L2/3,168.6927530393644
190,864691135275253989,864691135509789449,11244,3189,4544,0.09582084833966667,L2/3,L2/3,138.70448263844978
193,864691136040443134,864691135509789449,240,234,4544,0.12383508263553399,L2/3,L2/3,93.99870807622834
195,864691135066182980,864691135509789449,30524,4554,4544,0.062226648843807186,L2/3,L2/3,36.73984648851974
196,864691135856845358,864691135509789449,1696,8718,4544,-0.009444828870002947,L2/3,L2/3,110.04396154264899
204,864691135591041291,864691135762864182,42988,2091,222,-0.005692903114645956,L2/3,L2/3,139.59766301768806
205,864691135976202563,864691135762864182,2688,5567,222,0.05490599543139394,L2/3,L2/3,56.728645321389465
206,864691135491208679,864691135762864182,12160,1078,222,0.2489976158388617,L2/3,L2/3,77.39479383007618
207,864691135582259309,864691135762864182,2856,11269,222,0.08761565093360268,L2/3,L2/3,83.39992134288853
209,864691136106122969,864691135762864182,21212,8895,222,-0.12261281396942396,L2/3,L2/3,41.21657841209053
210,864691135594123307,864691135762864182,25476,8573,222,0.1266380955106234,L2/3,L2/3,36.81892035353561
211,864691135988078595,864691135762864182,20712,7336,222,0.0007120960961112704,L2/3,L2/3,61.8400827942524
212,864691135685170871,864691135762864182,2816,10902,222,0.12916745120004838,L2/3,L2/3,69.7080838927595
215,864691135294197260,864691135762864182,10604,10797,222,0.31211535611980606,L2/3,L2/3,75.37932830690384
216,864691136990504853,864691135762864182,16764,3047,222,0.02698462850923316,L2/3,L2/3,99.6784028764506
217,864691136056902616,864691135762864182,18852,221,222,0.1832374074430325,L2/3,L2/3,16.829840165610626
