,pre_pt_root_id,post_pt_root_id,sum_size,index_pre,index_post,C,cell_type_pre,cell_type_post
11874,864691135156708964,864691135476838824,9704,9741,6569,0.052150018045785305,L4,L2/3
11884,864691136974787868,864691135498651411,4428,2404,11177,0.21047295360534182,L4,L2/3
11885,864691135969949285,864691135498651411,2076,5677,11177,-0.0027893824013912856,L4,L2/3
11891,864691136912172017,864691135730600377,21716,4763,4151,0.13842057016665293,L4,L2/3
11904,864691135783492659,864691135848868446,9572,2529,11573,0.0994855988722787,L4,L2/3
11905,864691136228125521,864691135848868446,10720,8582,11573,-0.028341737890182864,L4,L2/3
11908,864691135783492659,864691136175058182,2120,2529,6521,0.11575087831261335,L4,L2/3
11909,864691135700566050,864691136175058182,12784,10242,6521,0.05217009778753747,L4,L2/3
11910,864691135777736032,864691136175058182,13372,10141,6521,0.0281848843075137,L4,L2/3
11911,864691135783492659,864691135952931619,7736,2529,199,0.026263010917952294,L4,L2/3
11912,864691135700566050,864691135952931619,3708,10242,199,-0.17008612803958986,L4,L2/3
11914,864691135059717787,864691135952931619,16208,10489,199,-0.030557131789710344,L4,L2/3
11915,864691135777064877,864691135952931619,4844,5427,199,-0.033577041128448164,L4,L2/3
11916,864691134941133667,864691135952931619,1944,716,199,-0.008134872304686194,L4,L2/3
11918,864691135783492659,864691136389838864,624,2529,3215,0.031604173591235955,L4,L2/3
11921,864691135208943225,864691136389838864,10456,10140,3215,-0.015270362222961664,L4,L2/3
11922,864691135916172390,864691136389838864,11704,9729,3215,-0.06999967239490108,L4,L2/3
11924,864691135726649663,864691136389838864,5336,6848,3215,-0.00871367065024836,L4,L2/3
11937,864691135783492659,864691134885474298,12768,2529,10825,0.10755012128767472,L4,L2/3
11941,864691135014167446,864691134885474298,8932,10481,10825,0.055994610126065436,L4,L2/3
11946,864691135783492659,864691135919485872,2944,2529,10805,0.14391416114839253,L4,L2/3
11950,864691136602949841,864691135919485872,9232,5812,10805,0.2554467121002583,L4,L2/3
11951,864691135947719777,864691135919485872,2396,10142,10805,0.2529262542003224,L4,L2/3
11956,864691135279377569,864691135919485872,3380,7562,10805,0.2321490421262743,L4,L2/3
11958,864691135783492659,864691135976572227,3840,2529,3158,-0.18878496392264255,L4,L2/3
11963,864691135783492659,864691135947457121,17792,2529,10888,0.03559689419605644,L4,L2/3
11965,864691135441749320,864691135947457121,12056,10239,10888,0.03356415570158725,L4,L2/3
11973,864691135783492659,864691135866625413,17420,2529,10799,0.06933283230664053,L4,L2/3
11980,864691135783492659,864691135479112902,8308,2529,11337,0.0970700785015806,L4,L2/3
