,pre_pt_root_id,post_pt_root_id,sum_size,index_pre,index_post,C,cell_type_pre,cell_type_post
64,864691136228183377,864691135361232967,8120,9201,613,0.0562133619765069,L4c,L4a
65,864691135700566050,864691135361232967,25928,10242,613,0.19707152092889565,L4a,L4a
66,864691136066697624,864691135361232967,2448,8394,613,0.16201527330415313,L4b,L4a
67,864691136362747874,864691135361232967,13792,1352,613,0.331976649182203,L4a,L4a
68,864691136974726940,864691135361232967,5188,1448,613,0.29182373858326993,L4a,L4a
69,864691135610661895,864691135361232967,9648,6787,613,0.286163469505626,L4c,L4a
70,864691136228183377,864691135014167446,4244,9201,10481,0.1395677410541503,L4c,L4b
71,864691135726100543,864691135014167446,1768,4787,10481,0.09876613187772597,L5a,L4b
72,864691135852005063,864691135014167446,4196,9731,10481,0.9124056023591961,L4b,L4b
73,864691137198217793,864691135014167446,4304,10144,10481,0.35788433057901753,L4b,L4b
74,864691136419698583,864691135014167446,8096,1487,10481,0.04973975830984871,L4b,L4b
75,864691135701561723,864691135014167446,2908,9730,10481,0.46739734260254584,L4a,L4b
76,864691135700566050,864691135014167446,992,10242,10481,0.0833883614188683,L4a,L4b
77,864691135342253765,864691135014167446,3760,1532,10481,0.0063385288898444294,L4a,L4b
78,864691135737916036,864691135014167446,3132,2405,10481,0.2963901528585217,L4b,L4b
79,864691135334986985,864691135014167446,920,2084,10481,0.21591884419573032,L3a,L4b
80,864691135615222475,864691135014167446,4360,4589,10481,0.07331132980631148,L4a,L4b
81,864691135156708964,864691135014167446,3660,9741,10481,0.04007109689907245,L4b,L4b
82,864691135685289655,864691135014167446,2172,10631,10481,0.06645807942256635,L4a,L4b
83,864691135059722139,864691135014167446,4640,679,10481,0.19921358447124846,L4b,L4b
84,864691135014211734,864691135014167446,3336,4888,10481,0.01771736188374774,L4c,L4b
85,864691136974726940,864691135014167446,7088,1448,10481,0.044504084851898204,L4a,L4b
86,864691135577945861,864691135014167446,5064,3383,10481,-0.025245390981211684,L4a,L4b
87,864691135495472528,864691135014167446,3400,7583,10481,0.4046293253235233,L4b,L4b
88,864691136974727708,864691135014167446,4364,638,10481,0.01945072779919053,L4a,L4b
89,864691136228183377,864691135926878676,8296,9201,5798,-0.01599417076278294,L4c,L5a
90,864691137020787054,864691135926878676,5488,611,5798,-0.06629132403963207,L4b,L5a
91,864691135755978194,864691135926878676,4152,9721,5798,0.46048442283351587,L4a,L5a
92,864691135838392723,864691135926878676,5376,4422,5798,-0.020358266192937874,L4a,L5a
93,864691135942378612,864691135926878676,4812,621,5798,-0.08658322648068867,L4c,L5a
94,864691136195208424,864691135926878676,3624,4423,5798,0.07583367619774024,L4a,L5a
95,864691134941194083,864691135926878676,368,6788,5798,0.09184649661252513,L4c,L5a
96,864691136228183377,864691135477010344,26624,9201,892,0.023600560555722648,L4c,L5ET
97,864691135155894884,864691135477010344,4992,2145,892,0.09967266346661653,L2a,L5ET
98,864691135105143629,864691135477010344,7864,6080,892,0.12184914918964178,L5ET,L5ET
99,864691135275253989,864691135477010344,61244,3189,892,0.03797019284634492,L2a,L5ET
100,864691135385894741,864691135477010344,28044,7928,892,0.11603703998178057,L3b,L5ET
101,864691136388893815,864691135477010344,5272,11479,892,0.033903118823611564,L3a,L5ET
102,864691136101005173,864691135477010344,23456,3121,892,0.047277261724215355,L2a,L5ET
103,864691135135756569,864691135477010344,22700,2406,892,0.0009275908567622108,L3c,L5ET
104,864691135334986985,864691135477010344,21052,2084,892,-0.10246281995277179,L3a,L5ET
105,864691135396980769,864691135477010344,2696,429,892,0.17334102521912237,L3b,L5ET
106,864691135777064877,864691135477010344,548,5427,892,0.061719972503850494,L4a,L5ET
107,864691135889087881,864691135477010344,71116,6422,892,0.023853953733541503,L3c,L5ET
108,864691136923942884,864691135477010344,2580,11848,892,0.02619552905108698,L3a,L5ET
109,864691136009055404,864691135477010344,8900,5428,892,0.12517504612230582,L3c,L5ET
110,864691135572327205,864691135477010344,23852,4228,892,0.016503346114524205,L2a,L5ET
